Response function created for file:ex_eg_23 at 18-Oct-19 11:43:48
Calibration (a0,a1)= -2000.0   20.000  FWHM=    6.8

 Egam(keV) FWHM(keV) EffTot  Photo  Compton Single  Double   Annih
   240.0      32.3   0.762  0.7554  0.2446  0.0000  0.0000  0.0000
   560.0      61.4   0.865  0.6269  0.3731  0.0000  0.0000  0.0000
   880.0      75.5   0.942  0.5604  0.4390  0.0006  0.0000  0.0000
  1200.0      85.7   0.982  0.4610  0.5326  0.0064  0.0000  0.0000
  1520.0      99.7   1.001  0.4078  0.5800  0.0091  0.0000  0.0030
  1840.0     112.8   1.010  0.3679  0.6136  0.0118  0.0000  0.0067
  2160.0     126.5   1.018  0.3377  0.6356  0.0154  0.0000  0.0114
  2480.0     138.5   1.025  0.3044  0.6608  0.0189  0.0000  0.0159
  2800.0     148.8   1.031  0.2704  0.6870  0.0223  0.0000  0.0203
  3120.0     161.1   1.036  0.2487  0.6908  0.0330  0.0070  0.0206
  3440.0     171.9   1.039  0.2310  0.6949  0.0373  0.0076  0.0292
  3760.0     181.6   1.043  0.2119  0.7007  0.0414  0.0082  0.0378
  4080.0     190.3   1.046  0.1921  0.7075  0.0454  0.0087  0.0463
  4400.0     197.9   1.049  0.1720  0.7149  0.0493  0.0093  0.0546
  4720.0     205.4   1.052  0.1612  0.7238  0.0519  0.0092  0.0539
  5040.0     212.5   1.055  0.1548  0.7328  0.0540  0.0089  0.0494
  5360.0     218.7   1.058  0.1482  0.7423  0.0561  0.0086  0.0448
  5680.0     223.9   1.060  0.1414  0.7520  0.0580  0.0083  0.0402
  6000.0     228.4   1.062  0.1351  0.7609  0.0602  0.0080  0.0357
  6320.0     236.0   1.065  0.1303  0.7667  0.0596  0.0080  0.0355
  6640.0     246.2   1.067  0.1268  0.7696  0.0571  0.0084  0.0382
  6960.0     256.2   1.070  0.1228  0.7734  0.0544  0.0087  0.0408
  7280.0     266.0   1.071  0.1191  0.7767  0.0518  0.0090  0.0434
  7600.0     275.6   1.072  0.1153  0.7802  0.0492  0.0093  0.0461
  7920.0     285.1   1.073  0.1113  0.7839  0.0465  0.0096  0.0487
  8240.0     294.4   1.074  0.1071  0.7881  0.0437  0.0099  0.0512
  8560.0     303.5   1.075  0.1031  0.7920  0.0410  0.0102  0.0538
  8880.0     312.4   1.076  0.0989  0.7961  0.0382  0.0104  0.0563
  9200.0     321.2   1.077  0.0948  0.8003  0.0355  0.0107  0.0587
  9520.0     329.8   1.078  0.0907  0.8044  0.0327  0.0110  0.0612
  9840.0     338.2   1.079  0.0867  0.8083  0.0300  0.0113  0.0638
 10160.0     346.1   1.080  0.0846  0.8104  0.0302  0.0113  0.0634
 10480.0     353.7   1.081  0.0826  0.8131  0.0309  0.0113  0.0621
 10800.0     361.2   1.082  0.0807  0.8155  0.0317  0.0113  0.0608
 11120.0     368.4   1.082  0.0787  0.8180  0.0324  0.0113  0.0596
 11440.0     375.4   1.083  0.0768  0.8205  0.0332  0.0113  0.0583
 11760.0     382.2   1.084  0.0747  0.8234  0.0338  0.0112  0.0569
 12080.0     388.8   1.084  0.0727  0.8258  0.0346  0.0112  0.0556
 12400.0     395.2   1.085  0.0709  0.8282  0.0354  0.0112  0.0544
 12720.0     401.4   1.085  0.0689  0.8307  0.0361  0.0112  0.0531
 13040.0     407.4   1.086  0.0670  0.8332  0.0368  0.0112  0.0519
 13360.0     413.2   1.087  0.0650  0.8357  0.0376  0.0111  0.0506
 13680.0     418.8   1.087  0.0632  0.8380  0.0383  0.0111  0.0494
 Details on efficiency up to 1000 keV:
    Egam  EffTot  EffExp  EffTot*EffExp
=======================================
     0.0   0.700   0.000   0.000
    20.0   0.704   0.000   0.000
    40.0   0.708   0.000   0.000
    60.0   0.714   0.000   0.000
    80.0   0.722   0.000   0.000
   100.0   0.730   0.000   0.000
   120.0   0.734   0.000   0.000
   140.0   0.738   0.018   0.013
   160.0   0.742   0.037   0.028
   180.0   0.746   0.057   0.043
   200.0   0.750   0.166   0.124
   220.0   0.756   0.290   0.220
   240.0   0.762   0.415   0.316
   260.0   0.768   0.491   0.377
   280.0   0.774   0.555   0.430
   300.0   0.780   0.632   0.493
   320.0   0.786   0.740   0.582
   340.0   0.792   0.848   0.672
   360.0   0.798   0.879   0.701
   380.0   0.804   0.890   0.715
   400.0   0.810   0.901   0.730
   420.0   0.818   0.912   0.746
   440.0   0.826   0.923   0.762
   460.0   0.834   0.934   0.779
   480.0   0.842   0.945   0.796
   500.0   0.850   0.956   0.812
   520.0   0.855   0.967   0.827
   540.0   0.860   0.978   0.841
   560.0   0.865   0.989   0.855
   580.0   0.870   0.991   0.862
   600.0   0.875   0.992   0.868
   620.0   0.880   0.993   0.874
   640.0   0.885   0.994   0.879
   660.0   0.890   0.995   0.885
   680.0   0.895   0.995   0.891
   700.0   0.900   0.996   0.897
   720.0   0.905   0.997   0.902
   740.0   0.909   0.998   0.908
   760.0   0.914   0.999   0.913
   780.0   0.919   1.000   0.919
   800.0   0.923   1.000   0.923
   820.0   0.928   1.000   0.928
   840.0   0.933   1.000   0.933
   860.0   0.937   1.000   0.937
   880.0   0.942   1.000   0.942
   900.0   0.947   1.000   0.947
   920.0   0.951   1.000   0.951
   940.0   0.956   1.000   0.956
   960.0   0.961   1.000   0.961
   980.0   0.965   1.000   0.965
  1000.0   0.970   1.000   0.970
